participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2467,excluded,True,False,False,False,False,False,False,False,False,True,False
2468,included,False,False,False,False,False,False,False,False,False,False,False
2469,included,False,False,False,False,False,False,False,False,False,False,False
2470,excluded,False,True,False,True,False,False,False,True,False,False,False
2471,included,False,False,False,False,False,False,False,False,False,False,False
2472,excluded,False,False,False,True,False,False,False,False,False,False,False
2473,included,False,False,False,False,False,False,False,False,False,False,False
2474,excluded,False,True,False,True,False,False,False,True,True,False,False
2475,excluded,False,True,False,False,False,False,False,False,False,False,False
2476,included,False,False,False,False,False,False,False,False,False,False,False
2477,excluded,False,False,False,False,False,False,False,False,False,True,False
2478,excluded,False,True,True,True,False,False,False,False,False,False,False
2479,excluded,False,True,False,False,False,False,False,False,False,False,False
2480,included,False,False,False,False,False,False,False,False,False,False,False
2481,excluded,True,False,False,True,False,False,False,False,False,False,False
2482,included,False,False,False,False,False,False,False,False,False,False,False
2483,excluded,True,False,False,False,True,False,True,False,False,False,False
2484,excluded,True,False,True,True,False,False,False,True,True,False,False
2485,included,False,False,False,False,False,False,False,False,False,False,False
2486,excluded,False,True,False,False,False,False,False,False,False,False,False
2487,excluded,False,True,True,True,False,False,False,False,False,False,False
2488,excluded,False,True,False,False,False,False,False,False,False,False,False
2489,included,False,False,False,False,False,False,False,False,False,False,False
2490,included,False,False,False,False,False,False,False,False,False,False,False
2491,included,False,False,False,False,False,False,False,False,False,False,False
2492,included,False,False,False,False,False,False,False,False,False,False,False
2493,excluded,False,True,False,True,False,False,False,False,False,False,False
2494,excluded,False,False,False,True,False,False,False,False,False,False,False
2495,included,False,False,False,False,False,False,False,False,False,False,False
2496,excluded,True,False,True,False,True,False,True,False,False,False,False
2497,excluded,False,False,False,False,False,False,False,False,False,True,False
2498,excluded,True,False,True,False,False,False,False,False,False,True,False
2499,excluded,False,False,True,True,False,False,False,False,False,True,False
