participantID,exclusion_1,spr/char_1_excl,focusevents_1_excl,rt_mean_1_excl,rt_max_1_excl,spr-wcg-break_1_excl,comp_prop_1_excl,catch_prop_1_excl,read_story_1_excl,exp_time_away_1_excl,screen_recording_1_excl,exclusion_2,spr/char_2_excl,focusevents_2_excl,rt_mean_2_excl,rt_max_2_excl,spr-wcg-break_2_excl,comp_prop_2_excl,catch_prop_2_excl,read_story_2_excl,exp_time_away_2_excl,screen_recording_2_excl,suppress_probe_2_excl,exclusion
2909,excluded,True,False,False,False,True,False,False,False,False,True,,,,,,,,,,,,,excluded
2910,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2911,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2912,excluded,False,False,False,False,False,False,False,True,False,False,excluded,False,False,False,False,False,False,False,False,False,False,True,excluded
2913,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2914,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2915,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,True,False,False,False,False,False,False,False,excluded
2916,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2917,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2918,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2919,excluded,False,False,False,True,True,False,False,False,True,True,,,,,,,,,,,,,excluded
2920,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2921,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2922,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2923,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2924,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2925,excluded,False,False,False,False,True,False,False,False,False,True,,,,,,,,,,,,,excluded
2926,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2927,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2928,excluded,False,False,True,True,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2929,excluded,False,False,False,False,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,False,True,False,excluded
2930,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2931,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2932,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2933,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2934,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2935,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2936,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2937,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2938,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2939,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2940,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2941,excluded,False,False,False,False,True,False,False,False,False,True,,,,,,,,,,,,,excluded
2942,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,False,excluded
2943,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2944,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2945,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2946,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2947,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2948,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,False,excluded
2949,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2950,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,False,True,False,False,excluded
2951,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2952,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2953,excluded,False,False,True,True,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2954,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2955,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,False,excluded
2956,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2957,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2958,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2959,excluded,False,False,False,True,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2960,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,False,False,False,True,excluded
2961,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2962,excluded,False,False,False,False,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,False,True,False,excluded
2963,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,True,excluded
2964,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2965,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2966,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2967,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2968,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,False,excluded
2969,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2970,excluded,False,False,False,False,True,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,excluded
2971,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2972,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2973,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2974,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2975,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2976,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2977,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2978,excluded,False,False,False,True,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2979,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2980,excluded,False,False,False,True,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,True,True,True,excluded
2981,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2982,excluded,False,False,False,False,False,False,False,True,False,True,,,,,,,,,,,,,excluded
2983,excluded,False,False,False,True,False,False,False,False,False,False,excluded,True,False,False,False,False,True,False,True,False,False,False,excluded
2984,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2985,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2986,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2987,excluded,True,False,True,True,False,True,False,False,False,True,,,,,,,,,,,,,excluded
2988,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2989,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2990,excluded,True,False,False,False,False,True,False,False,False,True,,,,,,,,,,,,,excluded
2991,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2992,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
2993,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2994,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2995,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2996,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,True,False,False,False,excluded
2997,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2998,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
2999,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3000,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3001,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3002,excluded,True,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3003,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3004,excluded,False,False,False,False,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,False,True,False,excluded
3005,excluded,False,False,False,False,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,False,True,False,excluded
3006,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,True,False,False,False,False,False,False,excluded
3007,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3008,excluded,False,True,False,False,True,False,False,False,False,True,,,,,,,,,,,,,excluded
3009,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3010,excluded,False,False,False,False,False,False,False,False,False,True,excluded,False,False,False,False,False,False,False,False,False,True,False,excluded
3011,excluded,False,False,False,True,True,False,False,False,False,True,,,,,,,,,,,,,excluded
3012,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3013,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3014,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3015,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,False,False,False,True,excluded
3016,excluded,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,excluded
3017,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3018,excluded,True,False,False,True,False,False,True,False,False,True,,,,,,,,,,,,,excluded
3019,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3020,excluded,False,False,False,True,False,False,False,False,True,False,excluded,False,False,False,True,False,False,False,False,False,False,False,excluded
3021,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3022,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3023,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3024,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3025,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3026,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3027,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,False,False,False,True,excluded
3028,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3029,included,False,False,False,False,False,False,False,False,False,False,excluded,False,False,False,False,False,False,False,False,True,False,True,excluded
3030,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3031,excluded,False,False,False,True,True,False,False,True,False,True,,,,,,,,,,,,,excluded
3032,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3033,excluded,False,False,False,True,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3034,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
3035,included,False,False,False,False,False,False,False,False,False,False,included,False,False,False,False,False,False,False,False,False,False,False,included
3036,excluded,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,excluded
