participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,key_onset,key_onset_timestamp,story_relatedness
1282,flight,35,2447,"[1240, 121, 237, 156, 172, 137, 384]","['F', 'L', 'I', 'G', 'H', 'T', '\r']","[70, 76, 73, 71, 72, 84, 13]",94783,1710879256514,1240,93575,1.6
1282,blue,36,2473,"[1536, 238, 208, 134, 357]","['B', 'L', 'U', 'E', '\r']","[66, 76, 85, 69, 13]",97256,1710879258987,1536,96319,2.4
1282,wave,37,4423,"[3168, 554, 246, 235, 220]","['W', 'A', 'V', 'E', '\r']","[87, 65, 86, 69, 13]",101679,1710879263410,3168,100424,2.0
1282,sand,38,2264,"[1147, 280, 155, 292, 390]","['S', 'A', 'N', 'D', '\r']","[83, 65, 78, 68, 13]",103943,1710879265674,1147,102826,2.8
1282,beach,39,2538,"[1160, 175, 211, 306, 186, 500]","['B', 'E', 'A', 'C', 'H', '\r']","[66, 69, 65, 67, 72, 13]",106482,1710879268213,1160,105103,1.4
1282,swim,40,3144,"[1630, 309, 161, 250, 794]","['S', 'W', 'I', 'M', '\r']","[83, 87, 73, 77, 13]",109627,1710879271358,1630,108112,2.6
1282,salt,41,2727,"[1252, 249, 177, 320, 728]","['S', 'A', 'L', 'T', '\r']","[83, 65, 76, 84, 13]",112355,1710879274086,1252,110879,2.0
1282,fish,42,2799,"[1394, 172, 241, 226, 766]","['F', 'I', 'S', 'H', '\r']","[70, 73, 83, 72, 13]",115154,1710879276885,1394,113749,5.761904761904762
1282,snake,43,2533,"[1328, 191, 224, 189, 185, 416]","['S', 'N', 'A', 'K', 'E', '\r']","[83, 78, 65, 75, 69, 13]",117688,1710879279419,1328,116482,1.1
1282,ground,44,2601,"[1150, 278, 162, 207, 238, 166, 400]","['G', 'R', 'O', 'U', 'N', 'D', '\r']","[71, 82, 79, 85, 78, 68, 13]",120289,1710879282020,1150,118838,3.8
1282,vine,45,2129,"[1082, 180, 206, 167, 494]","['V', 'I', 'N', 'E', '\r']","[86, 73, 78, 69, 13]",122418,1710879284149,1082,121371,2.1
1282,tree,46,2499,"[1134, 240, 240, 194, 691]","['T', 'R', 'E', 'E', '\r']","[84, 82, 69, 69, 13]",124918,1710879286649,1134,123552,4.818181818181818
1282,escape,47,2968,"[1525, 217, 333, 183, 195, 163, 352]","['E', 'S', 'C', 'A', 'P', 'E', '\r']","[69, 83, 67, 65, 80, 69, 13]",127887,1710879289618,1525,126443,3.2
1282,jump,48,6338,"[2518, 102, 490, 240, 231, 646, 176, 156, 151, 703, 228, 230, 467]","['J', 'J', 'U', 'M', 'P', '\x08', '\x08', '\x08', '\x08', 'U', 'M', 'P', '\r']","[74, 74, 85, 77, 80, 8, 8, 8, 8, 85, 77, 80, 13]",134226,1710879295957,2518,130405,1.4545454545454546
1282,go,49,4004,"[2430, 1245, 329]","['G', 'O', '\r']","[71, 79, 13]",138231,1710879299962,2430,136656,4.4
1282,knife,50,4188,"[2952, 207, 222, 192, 213, 402]","['K', 'N', 'I', 'F', 'E', '\r']","[75, 78, 73, 70, 69, 13]",142419,1710879304150,2952,141183,2.8
1282,cut,51,2493,"[1579, 194, 232, 488]","['C', 'U', 'T', '\r']","[67, 85, 84, 13]",144913,1710879306644,1579,143998,3.9
