participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,time_unpressed_excl,focusevents_excl
1237,excluded,True,False,False,False,False,False,False,False,False,False
1323,excluded,False,False,False,False,False,False,False,True,False,True
1324,excluded,True,False,False,False,False,False,False,False,False,False
1350,included,False,False,False,False,False,False,False,False,False,False
1351,included,False,False,False,False,False,False,False,False,False,False
1277,excluded,False,False,False,True,False,False,False,False,False,False
1238,included,False,False,False,False,False,False,False,False,False,False
1352,excluded,True,False,False,True,True,False,False,True,False,True
1325,included,False,False,False,False,False,False,False,False,False,False
1278,included,False,False,False,False,False,False,False,False,False,False
1239,included,False,False,False,False,False,False,False,False,False,False
1353,included,False,False,False,False,False,False,False,False,False,False
1279,excluded,True,False,False,False,False,False,False,False,False,False
1354,included,False,False,False,False,False,False,False,False,False,False
1326,excluded,False,True,False,False,False,False,False,True,False,False
1327,excluded,False,False,False,False,False,False,False,True,False,True
1328,included,False,False,False,False,False,False,False,False,False,False
