participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,time_unpressed_excl,focusevents_excl
1355,excluded,True,True,True,True,True,False,False,True,True,False
1240,included,False,False,False,False,False,False,False,False,False,False
1200,excluded,False,False,False,False,False,False,True,False,False,False
1241,included,False,False,False,False,False,False,False,False,False,False
1242,excluded,False,False,False,False,False,False,False,True,False,False
1243,excluded,True,False,False,False,True,False,False,False,False,False
1244,included,False,False,False,False,False,False,False,False,False,False
1280,excluded,False,False,False,False,False,False,True,False,False,False
1329,excluded,True,False,True,True,False,False,False,False,False,False
1330,excluded,False,False,False,False,False,False,True,False,False,False
1281,excluded,True,True,False,False,False,False,False,False,False,False
1261,excluded,False,True,False,True,False,False,False,False,False,False
1282,excluded,False,False,False,False,False,False,True,False,False,False
1223,included,False,False,False,False,False,False,False,False,False,False
1283,included,False,False,False,False,False,False,False,False,False,False
1356,excluded,False,False,False,False,False,False,True,False,False,False
1284,included,False,False,False,False,False,False,False,False,False,False
1285,excluded,True,False,False,False,False,False,False,True,False,False
1286,included,False,False,False,False,False,False,False,False,False,False
1331,included,False,False,False,False,False,False,False,False,False,False
1332,included,False,False,False,False,False,False,False,False,False,False
1224,excluded,True,True,True,True,False,False,True,True,False,True
1333,excluded,False,False,False,False,False,False,False,True,False,False
1287,included,False,False,False,False,False,False,False,False,False,False
1245,excluded,True,False,True,False,False,False,True,False,False,False
1334,excluded,False,True,False,False,False,False,False,True,False,False
1150,included,False,False,False,False,False,False,False,False,False,False
1246,included,False,False,False,False,False,False,False,False,False,False
1288,included,False,False,False,False,False,False,False,False,False,False
1289,included,False,False,False,False,False,False,False,False,False,False
1262,included,False,False,False,False,False,False,False,False,False,False
1335,included,False,False,False,False,False,False,False,False,False,False
1290,included,False,False,False,False,False,False,False,False,False,False
1291,excluded,False,False,False,True,False,False,False,True,False,False
1247,included,False,False,False,False,False,False,False,False,False,False
1225,excluded,True,False,False,False,True,False,True,False,False,False
1248,excluded,True,False,True,True,False,False,False,False,False,False
1292,included,False,False,False,False,False,False,False,False,False,False
1336,excluded,True,False,False,False,False,False,True,True,False,True
1194,included,False,False,False,False,False,False,False,False,False,False
1263,included,False,False,False,False,False,False,False,False,False,False
1293,included,False,False,False,False,False,False,False,False,False,False
1249,excluded,True,False,True,True,True,False,True,True,True,False
1337,excluded,False,True,False,False,False,False,False,False,False,False
1226,included,False,False,False,False,False,False,False,False,False,False
1338,included,False,False,False,False,False,False,False,False,False,False
1294,excluded,False,True,False,False,False,False,False,False,False,False
1227,included,False,False,False,False,False,False,False,False,False,False
1295,excluded,True,False,False,False,False,False,False,False,False,False
1339,included,False,False,False,False,False,False,False,False,False,False
1340,included,False,False,False,False,False,False,False,False,False,False
1264,excluded,False,False,True,False,False,False,False,False,True,False
1250,included,False,False,False,False,False,False,False,False,False,False
1251,included,False,False,False,False,False,False,False,False,False,False
1296,included,False,False,False,False,False,False,False,False,False,False
1265,included,False,False,False,False,False,False,False,False,False,False
1252,excluded,True,False,True,True,True,False,False,False,False,False
1341,included,False,False,False,False,False,False,False,False,False,False
1253,excluded,True,True,False,False,False,False,False,False,False,False
1358,included,False,False,False,False,False,False,False,False,False,False
1297,excluded,False,False,False,False,False,False,False,True,False,True
1298,excluded,True,False,False,False,False,False,False,False,False,False
1228,excluded,True,False,False,False,True,False,False,False,False,False
1299,excluded,False,False,False,True,False,False,False,False,False,False
1300,excluded,True,False,False,False,False,False,False,False,False,False
1229,included,False,False,False,False,False,False,False,False,False,False
1230,included,False,False,False,False,False,False,False,False,False,False
1301,included,False,False,False,False,False,False,False,False,False,False
1254,included,False,False,False,False,False,False,False,False,False,False
1255,excluded,True,False,True,True,False,False,False,False,False,False
1302,included,False,False,False,False,False,False,False,False,False,False
1342,excluded,True,False,False,False,True,False,False,False,False,False
1303,included,False,False,False,False,False,False,False,False,False,False
1266,excluded,False,True,False,False,False,False,False,False,False,False
1267,included,False,False,False,False,False,False,False,False,False,False
1268,excluded,True,False,False,True,False,False,False,False,False,False
1269,excluded,True,True,False,False,False,False,False,False,False,False
1231,included,False,False,False,False,False,False,False,False,False,False
1304,included,False,False,False,False,False,False,False,False,False,False
1343,included,False,False,False,False,False,False,False,False,False,False
1305,excluded,True,False,True,True,True,False,False,False,False,False
1306,excluded,False,True,False,False,False,False,False,False,False,False
1232,included,False,False,False,False,False,False,False,False,False,False
1307,excluded,False,True,False,False,False,False,False,False,False,False
1308,included,False,False,False,False,False,False,False,False,False,False
1309,included,False,False,False,False,False,False,False,False,False,False
1310,included,False,False,False,False,False,False,False,False,False,False
