participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_excl,read_story_excl,time_exp_excl,focusevents_excl,spr/char_interference_excl
1213,included,False,False,False,False,False,False,False,False,False,False
1147,included,False,False,False,False,False,False,False,False,False,False
1219,excluded,True,False,False,True,False,False,False,False,False,True
1203,excluded,False,False,False,False,False,False,False,False,True,False
1113,excluded,False,False,False,True,False,False,False,False,False,False
1204,included,False,False,False,False,False,False,False,False,False,False
1205,excluded,False,True,False,False,False,False,False,False,False,False
1206,included,False,False,False,False,False,False,False,False,False,False
1207,excluded,False,True,False,False,False,False,False,False,False,False
1208,excluded,True,False,False,False,False,False,False,False,False,False
1120,excluded,False,False,False,False,False,False,False,True,False,True
1209,included,False,False,False,False,False,False,False,False,False,False
1210,included,False,False,False,False,False,False,False,False,False,False
1114,included,False,False,False,False,False,False,False,False,False,False
1121,included,False,False,False,False,False,False,False,False,False,False
1148,included,False,False,False,False,False,False,False,False,False,False
