participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2217,included,False,False,False,False,False,False,False,False,False,False,False
2218,included,False,False,False,False,False,False,False,False,False,False,False
2219,included,False,False,False,False,False,False,False,False,False,False,False
2220,included,False,False,False,False,False,False,False,False,False,False,False
2221,included,False,False,False,False,False,False,False,False,False,False,False
2222,excluded,False,False,False,False,False,False,False,False,False,True,False
2223,included,False,False,False,False,False,False,False,False,False,False,False
2224,included,False,False,False,False,False,False,False,False,False,False,False
2225,included,False,False,False,False,False,False,False,False,False,False,False
2226,included,False,False,False,False,False,False,False,False,False,False,False
2227,included,False,False,False,False,False,False,False,False,False,False,False
2228,included,False,False,False,False,False,False,False,False,False,False,False
2229,included,False,False,False,False,False,False,False,False,False,False,False
2230,included,False,False,False,False,False,False,False,False,False,False,False
2231,included,False,False,False,False,False,False,False,False,False,False,False
2232,excluded,True,False,True,True,True,False,True,True,True,False,False
2233,included,False,False,False,False,False,False,False,False,False,False,False
2234,included,False,False,False,False,False,False,False,False,False,False,False
2235,excluded,True,False,False,False,False,False,False,True,False,False,False
2236,included,False,False,False,False,False,False,False,False,False,False,False
2237,included,False,False,False,False,False,False,False,False,False,False,False
2238,excluded,True,False,False,False,False,False,True,False,False,False,False
2239,included,False,False,False,False,False,False,False,False,False,False,False
2240,excluded,True,True,False,False,True,False,False,True,True,False,False
2241,included,False,False,False,False,False,False,False,False,False,False,False
2242,excluded,False,False,False,False,False,False,False,False,False,True,False
2243,excluded,False,True,True,True,False,False,False,False,False,False,False
2244,included,False,False,False,False,False,False,False,False,False,False,False
2245,included,False,False,False,False,False,False,False,False,False,False,False
2246,included,False,False,False,False,False,False,False,False,False,False,False
2247,excluded,False,False,False,False,False,False,False,False,False,True,False
2248,included,False,False,False,False,False,False,False,False,False,False,False
2249,excluded,False,True,True,True,False,False,False,True,True,False,False
2250,included,False,False,False,False,False,False,False,False,False,False,False
2251,included,False,False,False,False,False,False,False,False,False,False,False
2252,included,False,False,False,False,False,False,False,False,False,False,False
2253,excluded,False,True,False,False,False,False,False,True,True,False,False
2254,included,False,False,False,False,False,False,False,False,False,False,False
2255,included,False,False,False,False,False,False,False,False,False,False,False
2256,included,False,False,False,False,False,False,False,False,False,False,False
2257,excluded,False,False,False,True,False,False,False,False,False,False,False
2258,excluded,False,False,False,False,False,False,False,False,False,True,False
2259,included,False,False,False,False,False,False,False,False,False,False,False
2260,included,False,False,False,False,False,False,False,False,False,False,False
2261,included,False,False,False,False,False,False,False,False,False,False,False
2262,included,False,False,False,False,False,False,False,False,False,False,False
2263,included,False,False,False,False,False,False,False,False,False,False,False
2264,excluded,False,False,False,True,False,False,False,False,False,False,False
2265,included,False,False,False,False,False,False,False,False,False,False,False
2266,included,False,False,False,False,False,False,False,False,False,False,False
2267,included,False,False,False,False,False,False,False,False,False,False,False
2268,excluded,False,False,False,False,False,False,False,False,False,True,False
2269,excluded,False,False,False,False,False,False,False,False,False,True,False
2270,included,False,False,False,False,False,False,False,False,False,False,False
2271,excluded,False,False,False,False,False,False,False,False,False,True,False
2272,excluded,False,False,False,False,False,False,False,False,False,True,False
2273,excluded,False,False,False,False,False,False,False,False,False,True,False
2274,included,False,False,False,False,False,False,False,False,False,False,False
2275,excluded,True,False,False,False,False,False,False,False,False,False,False
2276,included,False,False,False,False,False,False,False,False,False,False,False
2277,included,False,False,False,False,False,False,False,False,False,False,False
2278,excluded,True,False,True,True,False,False,False,True,True,True,False
2279,included,False,False,False,False,False,False,False,False,False,False,False
2280,excluded,False,True,False,False,False,False,False,False,False,True,False
2281,included,False,False,False,False,False,False,False,False,False,False,False
2282,excluded,False,False,False,False,False,False,False,False,False,True,False
2283,included,False,False,False,False,False,False,False,False,False,False,False
2284,included,False,False,False,False,False,False,False,False,False,False,False
2285,included,False,False,False,False,False,False,False,False,False,False,False
2286,included,False,False,False,False,False,False,False,False,False,False,False
2287,excluded,True,False,False,True,False,False,True,False,False,False,False
2288,included,False,False,False,False,False,False,False,False,False,False,False
2289,excluded,False,True,True,True,False,False,True,False,False,False,False
2290,excluded,False,False,False,False,False,False,False,False,False,True,False
2291,included,False,False,False,False,False,False,False,False,False,False,False
2292,included,False,False,False,False,False,False,False,False,False,False,False
2293,included,False,False,False,False,False,False,False,False,False,False,False
2294,excluded,False,True,False,False,False,False,False,False,False,False,False
2295,excluded,False,False,False,False,False,False,False,False,False,True,False
2296,excluded,False,False,False,False,False,False,False,False,False,True,False
2297,excluded,True,True,False,True,False,False,False,False,False,False,False
2298,excluded,True,False,False,False,False,False,False,False,False,False,False
2299,included,False,False,False,False,False,False,False,False,False,False,False
2300,included,False,False,False,False,False,False,False,False,False,False,False
2301,included,False,False,False,False,False,False,False,False,False,False,False
2302,excluded,False,False,False,False,False,False,False,True,False,False,False
2303,excluded,True,False,False,True,False,False,False,False,True,False,False
2304,included,False,False,False,False,False,False,False,False,False,False,False
2305,included,False,False,False,False,False,False,False,False,False,False,False
2306,excluded,True,True,False,True,False,False,False,False,False,False,False
2307,excluded,True,False,False,False,False,False,False,False,False,False,False
2308,included,False,False,False,False,False,False,False,False,False,False,False
2309,excluded,False,True,False,False,False,False,False,True,True,False,False
2310,excluded,False,False,False,False,False,False,False,True,False,False,False
2311,excluded,True,False,False,False,True,False,False,False,False,False,False
2312,excluded,True,False,True,True,False,False,False,False,False,True,False
2313,included,False,False,False,False,False,False,False,False,False,False,False
2314,included,False,False,False,False,False,False,False,False,False,False,False
2315,included,False,False,False,False,False,False,False,False,False,False,False
2316,included,False,False,False,False,False,False,False,False,False,False,False
2317,included,False,False,False,False,False,False,False,False,False,False,False
2318,excluded,True,False,True,True,False,False,False,True,True,False,False
2319,included,False,False,False,False,False,False,False,False,False,False,False
2320,excluded,True,True,False,False,False,False,False,False,False,False,False
2321,excluded,False,False,False,False,False,False,True,False,False,False,False
2322,excluded,True,False,False,False,False,True,True,False,False,False,False
2323,included,False,False,False,False,False,False,False,False,False,False,False
2324,excluded,True,False,False,False,False,False,True,True,False,False,False
2325,included,False,False,False,False,False,False,False,False,False,False,False
2326,included,False,False,False,False,False,False,False,False,False,False,False
2327,excluded,False,False,False,True,False,False,False,False,False,False,False
2328,included,False,False,False,False,False,False,False,False,False,False,False
2329,excluded,True,True,False,False,False,False,False,True,False,True,False
2330,excluded,True,False,True,True,False,False,True,True,True,False,False
2331,included,False,False,False,False,False,False,False,False,False,False,False
2332,excluded,True,True,False,True,False,False,False,False,False,False,False
2333,excluded,False,False,False,False,False,False,False,False,False,True,False
2334,excluded,False,True,False,False,False,False,False,True,True,False,False
2335,excluded,True,False,False,False,False,False,False,True,False,True,False
2336,excluded,False,False,False,False,False,False,False,False,False,True,False
2337,included,False,False,False,False,False,False,False,False,False,False,False
2338,excluded,False,False,False,True,False,False,False,True,False,False,False
2339,included,False,False,False,False,False,False,False,False,False,False,False
2340,included,False,False,False,False,False,False,False,False,False,False,False
2341,included,False,False,False,False,False,False,False,False,False,False,False
2342,excluded,True,False,False,False,False,False,False,True,True,False,False
2343,excluded,True,True,False,True,False,False,False,False,False,True,False
2344,excluded,True,False,True,True,False,False,False,False,False,True,False
2345,included,False,False,False,False,False,False,False,False,False,False,False
2346,excluded,False,False,True,False,False,False,False,False,False,True,False
2347,excluded,False,False,False,True,False,False,False,False,False,False,False
2348,included,False,False,False,False,False,False,False,False,False,False,False
2349,included,False,False,False,False,False,False,False,False,False,False,False
2350,excluded,False,False,True,True,False,False,False,True,True,True,False
2351,excluded,False,False,False,False,False,False,False,False,False,True,False
2352,included,False,False,False,False,False,False,False,False,False,False,False
2353,excluded,True,False,False,False,True,False,False,False,False,False,False
2354,excluded,True,False,True,True,True,False,True,True,False,False,False
2355,excluded,True,False,True,True,True,False,False,False,False,False,False
2356,included,False,False,False,False,False,False,False,False,False,False,False
2357,excluded,False,True,False,False,False,False,False,False,False,False,False
2358,included,False,False,False,False,False,False,False,False,False,False,False
2359,included,False,False,False,False,False,False,False,False,False,False,False
