participantID,exclusion,spr/char_excl,spr-wcg-break_excl,rt_mean_excl,rt_max_excl,comp_prop_excl,catch_prop_excl,read_story_excl,time_exp_excl,focusevents_excl
1360,included,False,False,False,False,False,False,False,False,False
1361,included,False,False,False,False,False,False,False,False,False
1362,included,False,False,False,False,False,False,False,False,False
1363,included,False,False,False,False,False,False,False,False,False
1364,included,False,False,False,False,False,False,False,False,False
1365,included,False,False,False,False,False,False,False,False,False
1366,excluded,True,True,False,True,False,False,False,False,False
1367,excluded,True,False,False,True,False,False,False,False,False
1368,excluded,True,False,False,False,False,False,False,False,False
1369,included,False,False,False,False,False,False,False,False,False
1370,excluded,False,False,False,False,False,False,False,True,False
1371,excluded,False,True,False,False,False,False,False,False,False
1372,excluded,True,False,False,False,False,False,False,False,False
1373,excluded,False,False,True,False,False,False,False,False,False
1374,excluded,False,False,False,True,False,False,False,True,False
1375,included,False,False,False,False,False,False,False,False,False
1376,excluded,False,False,True,False,False,False,False,True,True
1377,excluded,True,True,False,False,False,False,False,False,False
1378,excluded,True,False,False,False,False,False,False,False,False
1379,excluded,True,False,False,True,False,False,False,True,False
1380,included,False,False,False,False,False,False,False,False,False
1381,included,False,False,False,False,False,False,False,False,False
1382,excluded,False,False,False,True,False,False,False,False,False
1383,included,False,False,False,False,False,False,False,False,False
1384,excluded,False,False,False,True,False,False,False,False,False
1385,included,False,False,False,False,False,False,False,False,False
1386,excluded,False,False,False,False,False,False,False,True,False
1387,excluded,False,False,False,True,False,False,False,True,False
1388,included,False,False,False,False,False,False,False,False,False
1389,included,False,False,False,False,False,False,False,False,False
1390,included,False,False,False,False,False,False,False,False,False
1391,included,False,False,False,False,False,False,False,False,False
1392,included,False,False,False,False,False,False,False,False,False
1393,included,False,False,False,False,False,False,False,False,False
1394,excluded,True,False,False,True,False,False,False,False,False
1395,excluded,False,False,False,True,False,False,False,False,False
1396,included,False,False,False,False,False,False,False,False,False
1397,included,False,False,False,False,False,False,False,False,False
1398,included,False,False,False,False,False,False,False,False,False
1399,included,False,False,False,False,False,False,False,False,False
1400,included,False,False,False,False,False,False,False,False,False
1401,included,False,False,False,False,False,False,False,False,False
1402,included,False,False,False,False,False,False,False,False,False
1403,included,False,False,False,False,False,False,False,False,False
1404,included,False,False,False,False,False,False,False,False,False
1405,excluded,False,True,False,False,False,False,False,False,False
1406,included,False,False,False,False,False,False,False,False,False
1407,included,False,False,False,False,False,False,False,False,False
1408,included,False,False,False,False,False,False,False,False,False
1409,included,False,False,False,False,False,False,False,False,False
1410,included,False,False,False,False,False,False,False,False,False
1411,included,False,False,False,False,False,False,False,False,False
1412,excluded,True,False,True,False,False,False,True,False,False
1413,included,False,False,False,False,False,False,False,False,False
1414,included,False,False,False,False,False,False,False,False,False
1415,included,False,False,False,False,False,False,False,False,False
1416,included,False,False,False,False,False,False,False,False,False
1417,excluded,False,True,False,True,False,False,False,True,False
1418,included,False,False,False,False,False,False,False,False,False
1419,included,False,False,False,False,False,False,False,False,False
1420,excluded,True,False,True,True,False,False,False,False,False
1421,included,False,False,False,False,False,False,False,False,False
1422,excluded,True,True,False,False,False,False,False,False,False
1423,included,False,False,False,False,False,False,False,False,False
1424,included,False,False,False,False,False,False,False,False,False
1425,excluded,False,True,False,False,False,False,False,False,False
1426,excluded,False,True,False,False,False,False,False,False,False
1427,included,False,False,False,False,False,False,False,False,False
1428,excluded,False,False,False,True,False,False,False,False,False
1429,excluded,True,False,True,True,False,False,False,True,True
1430,included,False,False,False,False,False,False,False,False,False
1431,included,False,False,False,False,False,False,False,False,False
1432,included,False,False,False,False,False,False,False,False,False
1433,included,False,False,False,False,False,False,False,False,False
1434,excluded,False,True,False,False,False,False,False,False,False
1435,included,False,False,False,False,False,False,False,False,False
1436,included,False,False,False,False,False,False,False,False,False
1437,included,False,False,False,False,False,False,False,False,False
1438,included,False,False,False,False,False,False,False,False,False
1439,excluded,False,False,False,False,False,False,False,True,False
1440,excluded,True,False,True,False,False,True,True,True,False
1441,included,False,False,False,False,False,False,False,False,False
1442,included,False,False,False,False,False,False,False,False,False
1443,included,False,False,False,False,False,False,False,False,False
1444,excluded,True,False,False,False,False,False,False,False,False
1445,included,False,False,False,False,False,False,False,False,False
1446,included,False,False,False,False,False,False,False,False,False
1447,excluded,False,True,False,False,False,False,False,True,False
1448,included,False,False,False,False,False,False,False,False,False
1449,included,False,False,False,False,False,False,False,False,False
1450,excluded,True,False,False,False,False,False,True,False,False
1451,included,False,False,False,False,False,False,False,False,False
1452,excluded,True,False,False,False,False,False,True,False,False
1453,excluded,False,False,False,True,False,False,False,False,False
1288,included,False,False,False,False,False,False,False,False,False
1454,excluded,True,False,False,True,False,False,False,True,False
1455,included,False,False,False,False,False,False,False,False,False
1456,included,False,False,False,False,False,False,False,False,False
1457,included,False,False,False,False,False,False,False,False,False
1458,included,False,False,False,False,False,False,False,False,False
1459,excluded,False,True,True,True,False,False,False,False,False
1460,excluded,False,True,False,False,False,False,False,True,False
1461,excluded,True,False,False,False,False,False,False,False,False
1462,included,False,False,False,False,False,False,False,False,False
1463,included,False,False,False,False,False,False,False,False,False
1464,included,False,False,False,False,False,False,False,False,False
1465,included,False,False,False,False,False,False,False,False,False
1466,included,False,False,False,False,False,False,False,False,False
1467,excluded,True,False,False,False,False,False,False,False,False
1468,included,False,False,False,False,False,False,False,False,False
1469,excluded,False,False,True,True,False,False,False,False,False
1470,included,False,False,False,False,False,False,False,False,False
1471,included,False,False,False,False,False,False,False,False,False
1472,excluded,False,False,False,False,False,False,False,True,False
1473,included,False,False,False,False,False,False,False,False,False
1474,included,False,False,False,False,False,False,False,False,False
1475,included,False,False,False,False,False,False,False,False,False
1476,included,False,False,False,False,False,False,False,False,False
1477,included,False,False,False,False,False,False,False,False,False
1478,excluded,False,False,True,True,False,False,False,True,True
1479,included,False,False,False,False,False,False,False,False,False
1480,included,False,False,False,False,False,False,False,False,False
1481,excluded,False,True,False,False,False,False,False,False,False
1482,excluded,False,False,True,True,False,False,False,False,False
1483,excluded,True,False,False,True,False,False,False,False,False
1484,included,False,False,False,False,False,False,False,False,False
1485,excluded,True,True,True,True,False,False,False,False,False
