participantID,exclusion,spr/char_excl,spr-wcg-break_interference_excl,rt_mean_excl,rt_max_post_excl,comp_prop_excl,catch_excl,read_story_excl,exp_time_away_excl,focusevents_excl,believed_instruction_excl,h_catpcha_verification_excl
2500,included,False,False,False,False,False,False,False,False,False,False,False
2501,included,False,False,False,False,False,False,False,False,False,False,False
2502,excluded,False,False,False,False,False,False,False,True,False,False,False
2503,included,False,False,False,False,False,False,False,False,False,False,False
2504,excluded,True,False,False,True,True,True,False,True,True,False,False
2505,included,False,False,False,False,False,False,False,False,False,False,False
2506,included,False,False,False,False,False,False,False,False,False,False,False
2507,included,False,False,False,False,False,False,False,False,False,False,False
2508,included,False,False,False,False,False,False,False,False,False,False,False
1356,excluded,False,False,False,False,False,False,True,True,False,True,False
2509,included,False,False,False,False,False,False,False,False,False,False,False
2510,included,False,False,False,False,False,False,False,False,False,False,False
2511,excluded,False,False,False,False,False,False,False,False,False,True,False
2030,included,False,False,False,False,False,False,False,False,False,False,False
2512,included,False,False,False,False,False,False,False,False,False,False,False
2513,excluded,False,False,True,True,False,False,False,False,False,False,False
2514,included,False,False,False,False,False,False,False,False,False,False,False
2515,included,False,False,False,False,False,False,False,False,False,False,False
2516,included,False,False,False,False,False,False,False,False,False,False,False
2517,excluded,False,False,False,False,False,False,False,True,False,False,False
2518,included,False,False,False,False,False,False,False,False,False,False,False
2519,included,False,False,False,False,False,False,False,False,False,False,False
2520,excluded,True,False,False,True,True,False,False,False,False,True,False
2521,included,False,False,False,False,False,False,False,False,False,False,False
1198,excluded,False,False,False,False,False,False,True,False,False,False,False
2522,included,False,False,False,False,False,False,False,False,False,False,False
2523,excluded,False,False,False,False,False,False,True,False,False,False,False
2524,included,False,False,False,False,False,False,False,False,False,False,False
2525,excluded,False,False,False,False,False,False,False,False,False,True,False
2526,included,False,False,False,False,False,False,False,False,False,False,False
1860,excluded,False,False,False,False,False,False,False,False,False,True,False
2527,excluded,False,True,False,False,False,False,False,True,True,False,False
2528,excluded,False,False,False,False,False,False,False,False,True,False,False
2529,excluded,False,False,False,False,False,False,False,True,True,False,False
2530,included,False,False,False,False,False,False,False,False,False,False,False
2531,excluded,False,False,False,False,False,False,False,True,False,False,False
2532,included,False,False,False,False,False,False,False,False,False,False,False
2533,excluded,False,False,False,False,False,False,False,True,False,True,False
2534,included,False,False,False,False,False,False,False,False,False,False,False
2535,included,False,False,False,False,False,False,False,False,False,False,False
