participantID,word_text,word_count,word_time,word_key_onsets,word_key_chars,word_key_codes,timestamp,timestamp_absolute,word_double_press_count,story_relatedness
1004,the,0,5239,"[3591, 272, 296, 1080]","['T', 'H', 'E', '\r']","[84, 72, 69, 13]",5240,1707238674906,1,3.3
1004,cold,1,3711,"[2007, 256, 192, 352, 904]","['C', 'O', 'L', 'D', '\r']","[67, 79, 76, 68, 13]",8952,1707238678618,1,4.6
1004,winter,2,4423,"[1704, 271, 304, 336, 256, 248, 1304]","['W', 'I', 'N', 'T', 'E', 'R', '\r']","[87, 73, 78, 84, 69, 82, 13]",13376,1707238683042,0,2.5
1004,night,3,3607,"[1943, 416, 200, 248, 232, 568]","['N', 'I', 'G', 'H', 'T', '\r']","[78, 73, 71, 72, 84, 13]",16984,1707238686650,1,5.1
1004,jumped,4,6327,"[4207, 232, 288, 608, 208, 240, 544]","['J', 'U', 'M', 'P', 'E', 'D', '\r']","[74, 85, 77, 80, 69, 68, 13]",23312,1707238692978,0,1.1
1004,around,5,6335,"[2335, 304, 296, 256, 264, 440, 2440]","['A', 'R', 'O', 'U', 'N', 'D', '\r']","[65, 82, 79, 85, 78, 68, 13]",29648,1707238699314,1,3.1
1004,the,6,1832,"[944, 152, 144, 592]","['T', 'H', 'E', '\r']","[84, 72, 69, 13]",31480,1707238701146,0,3.3
1004,homestead,7,4759,"[1839, 536, 264, 320, 200, 272, 272, 280, 280, 496]","['H', 'O', 'M', 'E', 'S', 'T', 'E', 'A', 'D', '\r']","[72, 79, 77, 69, 83, 84, 69, 65, 68, 13]",36240,1707238705906,0,3.1
1004,jet,8,4311,"[2799, 216, 344, 952]","['J', 'E', 'T', '\r']","[74, 69, 84, 13]",40552,1707238710218,1,1.0
1004,plane,9,2319,"[871, 200, 192, 264, 232, 560]","['P', 'L', 'A', 'N', 'E', '\r']","[80, 76, 65, 78, 69, 13]",42872,1707238712538,0,1.5
1004,carcass,10,6000,"[2328, 264, 304, 264, 336, 216, 712, 392, 128, 1056]","['C', 'A', 'R', 'C', 'A', 'A', '\x08', 'S', 'S', '\r']","[67, 65, 82, 67, 65, 65, 8, 83, 83, 13]",48872,1707238718538,0,4.5
1004,newyorkcity,11,8999,"[3919, 192, 232, 664, 368, 96, 808, 344, 400, 424, 208, 208, 224, 912]","['N', 'E', 'W', 'Y', 'O', 'U', '\x08', 'R', 'K', 'C', 'I', 'T', 'Y', '\r']","[78, 69, 87, 89, 79, 85, 8, 82, 75, 67, 73, 84, 89, 13]",57872,1707238727538,1,1.0
1004,deer,12,5055,"[3975, 224, 136, 176, 544]","['D', 'E', 'E', 'R', '\r']","[68, 69, 69, 82, 13]",62928,1707238732594,0,1.2
1004,lake,13,5120,"[3928, 272, 288, 248, 384]","['L', 'A', 'K', 'E', '\r']","[76, 65, 75, 69, 13]",68048,1707238737714,1,5.75
1004,river,14,3496,"[960, 336, 424, 928, 224, 624]","['R', 'I', 'V', 'E', 'R', '\r']","[82, 73, 86, 69, 82, 13]",71544,1707238741210,0,6.260869565217392
1004,foot,15,4248,"[2704, 520, 136, 160, 728]","['F', 'O', 'O', 'T', '\r']","[70, 79, 79, 84, 13]",75792,1707238745458,0,2.2
1004,arm,16,3360,"[1832, 304, 592, 632]","['A', 'R', 'M', '\r']","[65, 82, 77, 13]",79152,1707238748818,0,4.35
1004,fingers,17,4568,"[1912, 408, 448, 296, 224, 216, 432, 632]","['F', 'I', 'N', 'G', 'E', 'R', 'S', '\r']","[70, 73, 78, 71, 69, 82, 83, 13]",83720,1707238753386,1,4.0
1004,table,18,5032,"[3280, 304, 392, 368, 240, 448]","['T', 'A', 'B', 'L', 'E', '\r']","[84, 65, 66, 76, 69, 13]",88752,1707238758418,1,4.095238095238095
1004,superbowl,19,10320,"[6816, 344, 616, 160, 208, 352, 416, 248, 376, 784]","['S', 'U', 'P', 'E', 'R', 'B', 'O', 'W', 'L', '\r']","[83, 85, 80, 69, 82, 66, 79, 87, 76, 13]",99072,1707238768738,1,1.0
1004,chiefs,20,15663,"[4823, 368, 1496, 160, 296, 928, 936, 192, 152, 248, 960, 344, 328, 288, 1472, 160, 136, 384, 856, 232, 384, 232, 288]","['C', 'H', 'I', 'E', 'F', 'S', '\x08', '\x08', '\x08', '\x08', 'E', 'I', 'F', 'S', '\x08', '\x08', '\x08', '\x08', 'I', 'E', 'F', 'S', '\r']","[67, 72, 73, 69, 70, 83, 8, 8, 8, 8, 69, 73, 70, 83, 8, 8, 8, 8, 73, 69, 70, 83, 13]",114736,1707238784402,0,1.9
1004,taylor,21,7128,"[4024, 200, 560, 640, 184, 280, 1240]","['T', 'A', 'Y', 'L', 'O', 'R', '\r']","[84, 65, 89, 76, 79, 82, 13]",121864,1707238791530,0,1.0
1004,going,22,7224,"[5600, 320, 168, 264, 264, 608]","['G', 'O', 'I', 'N', 'G', '\r']","[71, 79, 73, 78, 71, 13]",129088,1707238798754,0,3.8
1004,away,23,2184,"[456, 176, 224, 352, 976]","['A', 'W', 'A', 'Y', '\r']","[65, 87, 65, 89, 13]",131272,1707238800938,0,3.8
1004,florida,24,6887,"[4943, 304, 168, 232, 272, 296, 256, 416]","['F', 'L', 'O', 'R', 'I', 'D', 'A', '\r']","[70, 76, 79, 82, 73, 68, 65, 13]",138160,1707238807826,0,1.2727272727272727
1004,gators,25,4568,"[1960, 512, 344, 352, 304, 448, 648]","['G', 'A', 'T', 'O', 'R', 'S', '\r']","[71, 65, 84, 79, 82, 83, 13]",142728,1707238812394,0,1.6
1004,swamp,26,5360,"[2848, 216, 248, 512, 536, 1000]","['S', 'W', 'A', 'M', 'P', '\r']","[83, 87, 65, 77, 80, 13]",148088,1707238817754,0,2.2
1004,public,27,8096,"[5584, 472, 512, 288, 208, 304, 728]","['P', 'U', 'B', 'L', 'I', 'C', '\r']","[80, 85, 66, 76, 73, 67, 13]",156184,1707238825850,1,4.8
1004,knowledge,28,4632,"[1288, 208, 544, 256, 544, 199, 337, 215, 489, 552]","['K', 'N', 'O', 'W', 'L', 'E', 'D', 'G', 'E', '\r']","[75, 78, 79, 87, 76, 69, 68, 71, 69, 13]",160816,1707238830482,0,3.0
1004,train,29,4976,"[3080, 208, 520, 288, 263, 616]","['T', 'R', 'A', 'I', 'N', '\r']","[84, 82, 65, 73, 78, 13]",165792,1707238835458,1,1.7
1004,bus,30,2487,"[1384, 423, 264, 416]","['B', 'U', 'S', '\r']","[66, 85, 83, 13]",168279,1707238837945,0,1.7
1004,car,31,1976,"[872, 304, 376, 424]","['C', 'A', 'R', '\r']","[67, 65, 82, 13]",170256,1707238839922,0,4.826086956521739
1004,into,32,3431,"[1831, 232, 209, 400, 759]","['I', 'N', 'T', 'O', '\r']","[73, 78, 84, 79, 13]",173687,1707238843353,0,3.9
1004,the,33,2535,"[1624, 167, 288, 456]","['T', 'H', 'E', '\r']","[84, 72, 69, 13]",176224,1707238845890,0,3.3
1004,dwelling,34,5037,"[2559, 224, 264, 488, 120, 206, 280, 152, 744]","['D', 'W', 'E', 'L', 'L', 'I', 'N', 'G', '\r']","[68, 87, 69, 76, 76, 73, 78, 71, 13]",181261,1707238850927,0,3.7
